Generation,Avg. Gene Fitness,Policy Fitness,Crossovers,Mutations,Goal
2,4.765,-148.4,18,27,1000
3,7.7567,291.97,1,3,1000
4,6.01,407.07,1,3,1000
5,4.452,187.8,1,27,1000
6,3.79,232.32,1,27,1000
7,2.9729,89.43,3,27,1000
8,2.1562,-39.535,3,27,1000
9,2.6078,318.1,1,25,1000
10,1.458,-91.356,3,27,1000
11,1.7618,24.826,5,27,1000
12,1.2708,-80.392,5,27,1000
13,1.8469,401.75,1,2,1000
14,1.7457,486.52,1,3,1000
15,1.604,410.66,1,21,1000
16,1.3856,180.27,3,27,1000
17,1.4435,509.25,1,3,1000
18,1.3728,551.06,1,3,1000
19,1.3037,566.87,1,3,1000
20,1.2195,475.62,1,25,1000
21,1.1814,577.74,1,3,1000
22,1.0068,178.63,1,27,1000
23,1.1135,871.55,1,3,1000
24,1.0063,427.27,1,27,1000
25,1.028,917.39,1,3,1000
26,1.01,1309.2,1,3,1000
